checkpoint,action,samples,target_group_std_mean,pred_group_std_mean,mean_pose_gap,mean_pose_to_global_pred_gap
ablation_meanrms_interdiv_divsel_actionaux005.pth,A01,60,0.07147738337516785,0.08544370532035828,0.13757337629795074,0.01187463290989399
ablation_meanrms_interdiv_divsel_actionaux005.pth,A02,59,0.0684632733464241,0.08790984749794006,0.11856988072395325,0.008045198395848274
ablation_meanrms_interdiv_divsel_actionaux005.pth,A03,60,0.10967431217432022,0.09839492291212082,0.17096461355686188,0.013171659782528877
ablation_meanrms_interdiv_divsel_actionaux005.pth,A04,59,0.1005355715751648,0.08971691131591797,0.14906994998455048,0.015849517658352852
ablation_meanrms_interdiv_divsel_actionaux005.pth,A05,59,0.09732687473297119,0.09346690773963928,0.14739815890789032,0.013623747043311596
ablation_meanrms_interdiv_divsel_actionaux005.pth,A06,60,0.06630180776119232,0.09304974973201752,0.10550086945295334,0.013366423547267914
ablation_meanrms_interdiv_divsel_actionaux005.pth,A07,59,0.06602348387241364,0.08868046849966049,0.11453117430210114,0.01777961105108261
ablation_meanrms_interdiv_divsel_actionaux005.pth,A08,60,0.0681089237332344,0.09139232337474823,0.12037679553031921,0.03024720400571823
ablation_meanrms_interdiv_divsel_actionaux005.pth,A09,59,0.08196747303009033,0.09006204456090927,0.1738489866256714,0.016211459413170815
ablation_meanrms_interdiv_divsel_actionaux005.pth,A10,59,0.08722010254859924,0.09008748829364777,0.18226979672908783,0.029243333265185356
ablation_meanrms_interdiv_divsel_actionaux005.pth,A11,60,0.09148386865854263,0.08834635466337204,0.09318608045578003,0.02646903693675995
ablation_meanrms_interdiv_divsel_actionaux005.pth,A12,59,0.08285361528396606,0.08173751085996628,0.15569624304771423,0.020761968567967415
ablation_meanrms_interdiv_divsel_actionaux005.pth,A13,60,0.08582811057567596,0.08742760866880417,0.120684415102005,0.015557694248855114
ablation_meanrms_interdiv_divsel_actionaux005.pth,A14,59,0.08808690309524536,0.08564656227827072,0.12148977816104889,0.018308110535144806
ablation_meanrms_interdiv_divsel_actionaux005.pth,A15,59,0.14030101895332336,0.0858406350016594,0.11367189139127731,0.037523575127124786
ablation_meanrms_interdiv_divsel_actionaux005.pth,A16,60,0.14272776246070862,0.09357838332653046,0.11355138570070267,0.006942825857549906
ablation_meanrms_interdiv_divsel_actionaux005.pth,A17,59,0.0730896070599556,0.0900438204407692,0.2317974865436554,0.04082243889570236
ablation_meanrms_interdiv_divsel_actionaux005.pth,A18,60,0.0750696063041687,0.08734250068664551,0.21897588670253754,0.025168433785438538
ablation_meanrms_interdiv_divsel_actionaux005.pth,A19,59,0.2127092480659485,0.09146109968423843,0.14999449253082275,0.006414333824068308
ablation_meanrms_interdiv_divsel_actionaux005.pth,A20,59,0.13864557445049286,0.08945169299840927,0.12559543550014496,0.01662210002541542
ablation_meanrms_interdiv_divsel_actionaux005.pth,A21,60,0.15262825787067413,0.09323851764202118,0.12603017687797546,0.004795519635081291
ablation_meanrms_interdiv_divsel_actionaux005.pth,A22,59,0.11412924528121948,0.08845888823270798,0.13926289975643158,0.01639064960181713
ablation_meanrms_interdiv_divsel_actionaux005.pth,A23,60,0.12253012508153915,0.09036577492952347,0.14388294517993927,0.006438073702156544
ablation_meanrms_interdiv_divsel_actionaux005.pth,A24,59,0.12992075085639954,0.08605887740850449,0.1539238691329956,0.006060054060071707
ablation_meanrms_interdiv_divsel_actionaux005.pth,A25,59,0.12672159075737,0.0898776426911354,0.1830298900604248,0.008522274903953075
ablation_meanrms_interdiv_divsel_actionaux005.pth,A26,60,0.14301027357578278,0.08888080716133118,0.18644283711910248,0.004313143901526928
ablation_meanrms_interdiv_divsel_actionaux005.pth,A27,55,0.11149309575557709,0.08687780797481537,0.10186214745044708,0.012766562402248383
ablation_meanrms_interdiv_divsel_actionaux010.pth,A01,60,0.07147738337516785,0.11853081732988358,0.13455964624881744,0.015328302048146725
ablation_meanrms_interdiv_divsel_actionaux010.pth,A02,59,0.0684632733464241,0.12117704004049301,0.11833231896162033,0.02522147446870804
ablation_meanrms_interdiv_divsel_actionaux010.pth,A03,60,0.10967431217432022,0.12174170464277267,0.1820182204246521,0.03491134196519852
ablation_meanrms_interdiv_divsel_actionaux010.pth,A04,59,0.1005355715751648,0.12079175561666489,0.1467278003692627,0.026419153437018394
ablation_meanrms_interdiv_divsel_actionaux010.pth,A05,59,0.09732687473297119,0.12370216101408005,0.14992767572402954,0.02228340320289135
ablation_meanrms_interdiv_divsel_actionaux010.pth,A06,60,0.06630180776119232,0.12468355894088745,0.10362130403518677,0.012482626363635063
ablation_meanrms_interdiv_divsel_actionaux010.pth,A07,59,0.06602348387241364,0.11888499557971954,0.11440527439117432,0.013868410140275955
ablation_meanrms_interdiv_divsel_actionaux010.pth,A08,60,0.0681089237332344,0.12310568243265152,0.11522066593170166,0.030528800562024117
ablation_meanrms_interdiv_divsel_actionaux010.pth,A09,59,0.08196747303009033,0.12251809239387512,0.17310258746147156,0.01386998314410448
ablation_meanrms_interdiv_divsel_actionaux010.pth,A10,59,0.08722010254859924,0.12089597433805466,0.1866271048784256,0.026157990097999573
ablation_meanrms_interdiv_divsel_actionaux010.pth,A11,60,0.09148386865854263,0.11925841867923737,0.09004952758550644,0.028102437034249306
ablation_meanrms_interdiv_divsel_actionaux010.pth,A12,59,0.08285361528396606,0.1127675473690033,0.15580560266971588,0.031094025820493698
ablation_meanrms_interdiv_divsel_actionaux010.pth,A13,60,0.08582811057567596,0.11946118623018265,0.11944057047367096,0.014197914861142635
ablation_meanrms_interdiv_divsel_actionaux010.pth,A14,59,0.08808690309524536,0.12111342698335648,0.11792216449975967,0.017829231917858124
ablation_meanrms_interdiv_divsel_actionaux010.pth,A15,59,0.14030101895332336,0.11937815696001053,0.11481689661741257,0.028870021924376488
ablation_meanrms_interdiv_divsel_actionaux010.pth,A16,60,0.14272776246070862,0.12390211224555969,0.12030089646577835,0.016770318150520325
ablation_meanrms_interdiv_divsel_actionaux010.pth,A17,59,0.0730896070599556,0.11858522146940231,0.22244027256965637,0.034369420260190964
ablation_meanrms_interdiv_divsel_actionaux010.pth,A18,60,0.0750696063041687,0.12052857130765915,0.22015024721622467,0.03753848373889923
ablation_meanrms_interdiv_divsel_actionaux010.pth,A19,59,0.2127092480659485,0.12390141189098358,0.15036284923553467,0.008517579175531864
ablation_meanrms_interdiv_divsel_actionaux010.pth,A20,59,0.13864557445049286,0.1185767650604248,0.12879565358161926,0.023481357842683792
ablation_meanrms_interdiv_divsel_actionaux010.pth,A21,60,0.15262825787067413,0.12228253483772278,0.12361633032560349,0.009101280942559242
ablation_meanrms_interdiv_divsel_actionaux010.pth,A22,59,0.11412924528121948,0.11950642615556717,0.13917158544063568,0.01251340750604868
ablation_meanrms_interdiv_divsel_actionaux010.pth,A23,60,0.12253012508153915,0.1187676414847374,0.14273132383823395,0.010523847304284573
ablation_meanrms_interdiv_divsel_actionaux010.pth,A24,59,0.12992075085639954,0.11602184921503067,0.1558782309293747,0.005318749696016312
ablation_meanrms_interdiv_divsel_actionaux010.pth,A25,59,0.12672159075737,0.11618298292160034,0.18265147507190704,0.017868923023343086
ablation_meanrms_interdiv_divsel_actionaux010.pth,A26,60,0.14301027357578278,0.12403945624828339,0.19021205604076385,0.01195802167057991
ablation_meanrms_interdiv_divsel_actionaux010.pth,A27,55,0.11149309575557709,0.11710713803768158,0.10232562571763992,0.010144375264644623
ablation_meanrms_interdiv_divsel_actionaux.pth,A01,60,0.07147738337516785,0.11625824123620987,0.1346249133348465,0.015183357521891594
ablation_meanrms_interdiv_divsel_actionaux.pth,A02,59,0.0684632733464241,0.1176580935716629,0.12269309163093567,0.024624748155474663
ablation_meanrms_interdiv_divsel_actionaux.pth,A03,60,0.10967431217432022,0.11880957335233688,0.17902877926826477,0.03175206854939461
ablation_meanrms_interdiv_divsel_actionaux.pth,A04,59,0.1005355715751648,0.1184149906039238,0.14971965551376343,0.027338743209838867
ablation_meanrms_interdiv_divsel_actionaux.pth,A05,59,0.09732687473297119,0.1204882338643074,0.1489643156528473,0.023751746863126755
ablation_meanrms_interdiv_divsel_actionaux.pth,A06,60,0.06630180776119232,0.12268418073654175,0.10168100893497467,0.012259283103048801
ablation_meanrms_interdiv_divsel_actionaux.pth,A07,59,0.06602348387241364,0.11460307240486145,0.11447843164205551,0.014733384363353252
ablation_meanrms_interdiv_divsel_actionaux.pth,A08,60,0.0681089237332344,0.12205088883638382,0.11469654738903046,0.027345914393663406
ablation_meanrms_interdiv_divsel_actionaux.pth,A09,59,0.08196747303009033,0.1211559921503067,0.1738097369670868,0.014501341618597507
ablation_meanrms_interdiv_divsel_actionaux.pth,A10,59,0.08722010254859924,0.11875846982002258,0.18688756227493286,0.02636353299021721
ablation_meanrms_interdiv_divsel_actionaux.pth,A11,60,0.09148386865854263,0.11545680463314056,0.09215760231018066,0.02357177808880806
ablation_meanrms_interdiv_divsel_actionaux.pth,A12,59,0.08285361528396606,0.10993075370788574,0.1602787971496582,0.027053100988268852
ablation_meanrms_interdiv_divsel_actionaux.pth,A13,60,0.08582811057567596,0.11920701712369919,0.1185302883386612,0.01307717990130186
ablation_meanrms_interdiv_divsel_actionaux.pth,A14,59,0.08808690309524536,0.11920013278722763,0.11693939566612244,0.017308617010712624
ablation_meanrms_interdiv_divsel_actionaux.pth,A15,59,0.14030101895332336,0.11672896146774292,0.11461533606052399,0.031169438734650612
ablation_meanrms_interdiv_divsel_actionaux.pth,A16,60,0.14272776246070862,0.12221577763557434,0.12019115686416626,0.016231918707489967
ablation_meanrms_interdiv_divsel_actionaux.pth,A17,59,0.0730896070599556,0.11445246636867523,0.22782380878925323,0.03555838018655777
ablation_meanrms_interdiv_divsel_actionaux.pth,A18,60,0.0750696063041687,0.11786525696516037,0.22607874870300293,0.03890613466501236
