epoch,train_loss,train_pose,train_std_ratio,train_acc,train_domain_loss,train_domain_acc,val_loss,val_nmpjpe,val_pose,val_std_ratio,val_acc,val_domain_loss,val_domain_acc,selection_mode,selection_score
1,0.966015992812509,0.10998472951037448,0.27484347756300936,0.08614575020308887,0.5570134091453369,0.7055745377886895,0.9671906384733167,0.1927217861310192,0.10081112141720834,0.15210350521065852,0.04021698465994252,0.7691080426126217,0.5825289936192926,accuracy,-0.1927217861310192
2,0.8969652432493467,0.10244335268653115,0.19121379352338963,0.147538823497029,0.4827873392620756,0.760212157501379,1.0023770330076816,0.19344738700217715,0.10127000816260241,0.2468825780917231,0.037498441201029964,0.8735968480994389,0.5227459782959591,accuracy,-0.19344738700217715
3,0.8535108183825006,0.10107276833364227,0.21445805920735417,0.1981303205703224,0.4470401320306187,0.7804145052113347,1.0351847612883092,0.1939198075506006,0.10156562879824671,0.32999845307609776,0.03911959096958459,1.0298741295236886,0.41571268237526093,accuracy,-0.1939198075506006
4,0.8165764014481166,0.09977728187003235,0.2389884057610109,0.24206279928172386,0.42077134899253954,0.7961405127978953,1.0506519697523873,0.19508026625126254,0.10249895352383834,0.3622442241224331,0.03590223219852849,1.1521387212902905,0.36730265618745694,accuracy,-0.19508026625126254
5,0.7834604687911457,0.09843329937514646,0.2621068844938887,0.2793794892258579,0.39849980382422684,0.8098031391597041,1.065129718111257,0.19578058521844813,0.10249345514048572,0.41643814824067205,0.03805960842886386,1.1297609853363941,0.37589474996399264,accuracy,-0.19578058521844813
6,0.7517118486802481,0.09713172537987459,0.28212981736503023,0.3164413740467473,0.3785660339479245,0.8216359903121698,1.0767242744656063,0.19664934813894525,0.10310765266221485,0.4370894285468244,0.03744855967041025,1.0814967913763796,0.4421498939957995,accuracy,-0.19664934813894525
7,0.7201543687251883,0.09574239024950425,0.3022057240366555,0.3493582069731101,0.3611066322848022,0.8312570663898922,1.1208615168206248,0.1968221388852928,0.10309213892169866,0.4728007333432369,0.038508542211130974,1.1487239367350301,0.40027434841655024,accuracy,-0.1968221388852928
8,0.6873765960514118,0.0942092122508589,0.32284107148433244,0.386737662950993,0.34447444552007145,0.8401910415289408,1.170842049585374,0.1983190543972832,0.10361691154953041,0.5542603596017343,0.03761067464734004,1.2974812501831712,0.3958598328916669,accuracy,-0.1983190543972832
9,0.6515188654327241,0.0924241538297055,0.34706928559593075,0.42623204310370366,0.32759679059504704,0.8497643156567289,1.2048075237808151,0.2003391808989429,0.10522713913708974,0.5737315742232761,0.036712807082434164,1.254745436606673,0.4100635989465415,accuracy,-0.2003391808989429
10,0.6145915352789193,0.09044872443448136,0.3728727460062133,0.4680745377839325,0.31139903746289627,0.8585419992114293,1.2586609329304979,0.20149677948979075,0.10606146824692146,0.6490486383973281,0.03667539593316861,1.3816450896710881,0.39840379099118056,accuracy,-0.20149677948979075
