epoch,train_loss,train_pose,train_std_ratio,train_acc,train_domain_loss,train_domain_acc,val_loss,val_nmpjpe,val_pose,val_std_ratio,val_acc,val_domain_loss,val_domain_acc,selection_mode,selection_score
1,0.9158111596383386,0.1101535724956135,0.27413343778511856,0.08058409816797314,0.0,0.0,0.9499855941869267,0.1909449616034796,0.09963989580921853,0.14421916485616937,0.038072078811704615,0.0,0.0,balanced,-0.31921674533512234
2,0.8561613621563314,0.10256483403152689,0.1860521864814941,0.13599486233397473,0.0,0.0,0.9886897948959965,0.19208723097716296,0.10022147310625244,0.205194692971671,0.039456291306284925,0.0,0.0,balanced,-0.3069443985233954
3,0.8212645132828976,0.10125104558237152,0.20829147970971354,0.18095113394718026,0.0,0.0,0.9894338905803877,0.1930913357306395,0.10102804582684485,0.2728783497687423,0.03798478613181934,0.0,0.0,balanced,-0.29305809878151623
4,0.7905905468408717,0.10004998320462413,0.23214477571790348,0.22067787310930603,0.0,0.0,1.015901657883582,0.19531705783094042,0.10278616223230165,0.29907164118216806,0.038496071829033515,0.0,0.0,balanced,-0.28952129677086347
5,0.7633820078606998,0.09883912618837638,0.25349316958275586,0.25350409018355946,0.0,0.0,1.047751017500745,0.19481207263827963,0.1018667063145644,0.4032729402282973,0.03827160493752831,0.0,0.0,balanced,-0.26609202578805424
6,0.7373128594014517,0.09764610190785893,0.27198261156951725,0.2843712589808302,0.0,0.0,1.0858755154448534,0.19733483927819864,0.1035419798890378,0.45869579895920165,0.0386457164234942,0.0,0.0,balanced,-0.25642176350717427
7,0.7116056373142188,0.096269264207753,0.29363115554629377,0.3140350658467362,0.0,0.0,1.10434476703699,0.1981044127792027,0.10386608570130304,0.5075026046160912,0.03970569896495822,0.0,0.0,balanced,-0.24645383976366264
8,0.6846511706959602,0.09489398204081552,0.3128102854048835,0.34377701849292397,0.0,0.0,1.142160315438687,0.19691357776022772,0.103638631504757,0.5132895092407297,0.03812196034381092,0.0,0.0,balanced,-0.24398988572726718
9,0.6562071875962655,0.09331825816467203,0.3342196361800241,0.3790116221164572,0.0,0.0,1.1501456775901948,0.1982812143963521,0.10430670084668925,0.5272202942411209,0.039294176330470075,0.0,0.0,balanced,-0.2422927496633055
10,0.6261087598818735,0.09155802170954888,0.35830497326060284,0.4138347133577869,0.0,0.0,1.2040251148387757,0.2009453848645431,0.10544043200515366,0.6283807966748978,0.03829654570320982,0.0,0.0,balanced,-0.2227016095960656
11,0.5946961125657736,0.08946855891576216,0.3839484866699598,0.44766518688877394,0.0,0.0,1.232349819678561,0.20020209538295897,0.10524876725738341,0.643337758266951,0.03751091158461401,0.0,0.0,balanced,-0.21866778856422975
12,0.5603228757263466,0.08733866149998148,0.40661322518719356,0.4877356843575419,0.0,0.0,1.2616935519777281,0.20214856031983403,0.10624861978157037,0.6720347807909548,0.0386457164234942,0.0,0.0,balanced,-0.21430090854582398
13,0.5262121675924025,0.08523645917963049,0.42831131291456065,0.5273464518552385,0.0,0.0,1.3475441922450515,0.20279561089917836,0.10687733447110212,0.7283238175935409,0.037897493453049005,0.0,0.0,balanced,-0.20256437102859937
14,0.4915751885483004,0.08300910063581474,0.4504717843159617,0.5673059656894978,0.0,0.0,1.4077857442115633,0.2039931787128445,0.1072735371009818,0.778260569506147,0.03854595336076817,0.0,0.0,balanced,-0.1927758534214922
15,0.45814558197666144,0.0809289035606603,0.4698104463333334,0.6068710095865291,0.0,0.0,1.4353260810215553,0.20677960299876194,0.10889686218839525,0.8264562919916157,0.03808454919566031,0.0,0.0,balanced,-0.19077960299876195
16,0.42561933513602923,0.07878233418938929,0.48911545909078996,0.6479973064739991,0.0,0.0,1.540640162330477,0.2090019703450264,0.11028839721077174,0.9060958505985014,0.03817184187554558,0.0,0.0,balanced,-0.19300197034502642
17,0.39357525691782486,0.07651590950584897,0.508023816102139,0.6865809557205758,0.0,0.0,1.6142686110331332,0.21147136952472992,0.11148455924249852,0.936926992659944,0.03736126699089662,0.0,0.0,balanced,-0.19547136952472993
18,0.36548230918949354,0.07457717755439276,0.5234595020580368,0.7201458167192561,0.0,0.0,1.6423994173446428,0.21098674618888635,0.11150804843290411,0.9549184793233129,0.039169472502805835,0.0,0.0,balanced,-0.19498674618888634
19,0.33986335886376245,0.07270508998200738,0.5378205978979802,0.7512328744600605,0.0,0.0,1.7497693535930454,0.2125656241824434,0.11212882914921042,0.9784042466220483,0.037735378476119213,0.0,0.0,balanced,-0.1965656241824434
20,0.31779837763533053,0.07101754462591715,0.5494363012427058,0.7773514399029975,0.0,0.0,1.8028025690821552,0.2138335507622769,0.11311003112416862,1.0014173675823248,0.03763561541339319,0.0,0.0,balanced,-0.19783355076227688
21,0.29909111194889354,0.06937125031015012,0.5610971034453187,0.8008043196614228,0.0,0.0,1.8783542117389869,0.2150000988730975,0.11353075704973435,1.0427127552992805,0.03802219728108489,0.0,0.0,balanced,-0.1990000988730975
22,0.28131208731737123,0.06798624140429715,0.570722991408868,0.8225463055555856,0.0,0.0,1.9177408925076793,0.2146314653698859,0.11345098502808548,1.0360724387538747,0.03774784885895997,0.0,0.0,balanced,-0.1986314653698859
23,0.26826492166600036,0.06670534079455892,0.5800050842172131,0.8390076316934724,0.0,0.0,1.9850998207850563,0.21501699781526368,0.11363371354707207,1.04898718060334,0.03769796732722531,0.0,0.0,balanced,-0.19901699781526366
24,0.25423821126068485,0.06536240341009517,0.5892513488781328,0.8544879788793,0.0,0.0,2.004085508209316,0.21617501757138685,0.11457233889629335,1.0682195750893106,0.038770420251901735,0.0,0.0,balanced,-0.20017501757138684
25,0.2459342918653823,0.0642506231145795,0.5982454087100596,0.8635549680861301,0.0,0.0,2.0280920454682456,0.2163467064018573,0.1144922193291702,1.0739567486287531,0.0386332460402818,0.0,0.0,balanced,-0.2003467064018573
26,0.23606673981890333,0.06325152300369569,0.6052292581210589,0.8752685222307968,0.0,0.0,2.076760080824292,0.21802616200663827,0.11535328126601083,1.1090004833236065,0.037373737372994084,0.0,0.0,balanced,-0.20202616200663825
27,0.22788522618466725,0.06218450890180595,0.6135441645777711,0.8839518489213534,0.0,0.0,2.1410533085504455,0.2186556153165713,0.11564000794597361,1.1241567153380032,0.03781020077316374,0.0,0.0,balanced,-0.20265561531657128
28,0.22082087745427706,0.06117553174858415,0.6213668371949878,0.891052723477958,0.0,0.0,2.2119209589603193,0.21998699627169083,0.11640288822444869,1.1364435547767904,0.037909963835889765,0.0,0.0,balanced,-0.2039869962716908
29,0.21400561665927326,0.06023700109847241,0.62913164397715,0.8989279894998145,0.0,0.0,2.1676861088685313,0.21634042132620296,0.11456940149722782,1.1042232782797023,0.037685496944384556,0.0,0.0,balanced,-0.20034042132620294
30,0.20912209340480453,0.05932821752912315,0.6366473581561639,0.9029292198818204,0.0,0.0,2.2505252603908357,0.21788726936241148,0.11544706949380913,1.1202211833116136,0.039181942884903294,0.0,0.0,balanced,-0.20188726936241147
31,0.20351069556743928,0.05843345143186361,0.644010426837829,0.9081242518099613,0.0,0.0,2.250944633979812,0.21707306601026288,0.11519459540751201,1.1264795508775973,0.037997256515775034,0.0,0.0,balanced,-0.20107306601026287
32,0.1988271426317317,0.05760646971791435,0.6513961801410958,0.912573989115043,0.0,0.0,2.292305617172502,0.21870281812459072,0.1159223772729405,1.1406812644076179,0.0396059359022322,0.0,0.0,balanced,-0.20270281812459073
33,0.19499886944497574,0.05680671596939765,0.657940742903867,0.9157181098902597,0.0,0.0,2.2840926385012064,0.2190728146018404,0.11631880468234916,1.15969805118077,0.03795984536650948,0.0,0.0,balanced,-0.2030728146018404
34,0.19067086043922976,0.05590749120507731,0.666777751786844,0.9196586525877856,0.0,0.0,2.3481397603690617,0.21833171168048865,0.11606300444447767,1.1373708845701194,0.037885023069464965,0.0,0.0,balanced,-0.20233171168048864
35,0.186083621878388,0.05519246319955526,0.6723809404698544,0.92415536049358,0.0,0.0,2.354115044813469,0.21835952065007053,0.11604448114510768,1.1484059924912253,0.03844619029729886,0.0,0.0,balanced,-0.2023595206500705
36,0.18202542192217167,0.05437737643564119,0.679368525267789,0.9283199487974999,0.0,0.0,2.3703630111895087,0.21734875877950982,0.11524929042869798,1.1314974861202105,0.039805462026940956,0.0,0.0,balanced,-0.2013487587795098
37,0.17909368877399473,0.053786393198506505,0.6840204997768615,0.9295727753534568,0.0,0.0,2.3783527422730266,0.21952625579489987,0.11647436580432444,1.1644418379882577,0.03754832273313627,0.0,0.0,balanced,-0.20352625579489986
38,0.17570330909879228,0.05308923352411625,0.6902749761522815,0.9333765629235973,0.0,0.0,2.432454113841934,0.22042053803338837,0.1170887809006602,1.1949214531635313,0.03804713804602311,0.0,0.0,balanced,-0.2044205380333884
39,0.17253166279574916,0.05239996216828501,0.696165660739611,0.9353289605138403,0.0,0.0,2.4557419591747416,0.21892266064410287,0.11629971630879658,1.1572920540693559,0.03852101259434337,0.0,0.0,balanced,-0.20292266064410286
