epoch,batch_div_lambda,inter_div_lambda,intra_div_lambda,selection_score,train_loss,val_loss,val_nmpjpe,train_pose_loss,train_rel_loss,train_dist_loss,train_dir_loss,train_var_loss,train_batch_div_loss,train_inter_div_loss,train_intra_div_loss,val_pose_loss,val_rel_loss,val_dist_loss,val_dir_loss,val_var_loss,val_batch_div_loss,val_inter_div_loss,val_intra_div_loss,train_pred_std_mean,train_target_std_mean,train_std_ratio,train_pred_pair_dist_mean,train_target_pair_dist_mean,train_pair_dist_ratio,train_pred_inter_pair_dist_mean,train_target_inter_pair_dist_mean,train_inter_pair_dist_ratio,train_pred_intra_pair_dist_mean,train_target_intra_pair_dist_mean,train_intra_pair_dist_ratio,val_pred_std_mean,val_target_std_mean,val_std_ratio,val_pred_pair_dist_mean,val_target_pair_dist_mean,val_pair_dist_ratio,val_pred_inter_pair_dist_mean,val_target_inter_pair_dist_mean,val_inter_pair_dist_ratio,val_pred_intra_pair_dist_mean,val_target_intra_pair_dist_mean,val_intra_pair_dist_ratio,train_action_cls_loss,train_action_acc,val_action_cls_loss,val_action_acc,grad_norm_mean,nan_loss,nan_grad
1,0.0,0.25,0.0,-0.19950805083075163,0.5017275014519691,0.27778432356075894,0.19950805083075163,0.045610939878970386,0.0851549456641078,0.27628428116440773,0.10800216756761075,0.014070891663432122,0.11995269633829593,0.1170105554908514,0.26845485270023345,0.020754336756503684,0.04087484210161909,0.17789272672109643,0.05626497191290693,0.04204533467528484,0.5068086155276448,0.00973947101407016,0.5068073744071602,0.14844100415706635,0.16355490267276765,0.9137795621156692,1.2256096422672271,1.5286716163158416,0.8051548540592194,1.225654549598694,1.5487954592704773,0.7947136652469635,1.2247121864557267,0.9978288966417312,1.243638471364975,0.010573184988790691,0.08672962156461798,0.1445114534972151,0.08716856113008199,0.8810060757668421,0.1165030305907604,0.0022092098874007546,0.033503081367740994,0.0014830779428716342,0.08700092369919332,0.8757891450934405,0.11691513063214429,0.0,0.0,0.0,0.0,1.0526957979492972,False,False
2,0.0,0.25,0.0,-0.20569102116907487,0.37161409229040143,0.2824052794948304,0.20569102116907487,0.02751662561669946,0.05316281240433454,0.20698218315839767,0.06858819592744111,0.02232125326991081,0.16915239490568637,0.16778272695839405,0.20607411310076715,0.021541037209529892,0.04168213929445358,0.1814591173984297,0.05641416713915006,0.03230461745177634,0.44307182914435617,0.008599553677280254,0.44306415634152896,0.10909107960760593,0.1670531678199768,0.656516798734665,0.9051427662372589,1.5514887416362761,0.5853032812476158,0.9050805252790451,1.5723103094100952,0.5775152942538262,0.9069367909431457,1.0196614950895309,0.8995806306600571,0.024987244045761164,0.08672962156461798,0.340054205795865,0.18911047111701929,0.8810060757668421,0.2526143711494647,0.004607640199938355,0.033503081367740994,0.0030870092139605025,0.18874347050531293,0.8757891450934405,0.2534408245093062,0.0,0.0,0.0,0.0,0.39659590637556474,False,False
3,0.0,0.25,0.0,-0.2401466604710101,0.36043763279914853,0.2796771926302493,0.2401466604710101,0.028674312233924866,0.051460753045976165,0.19994673132896423,0.06702404953539372,0.020074628591537476,0.1580145101994276,0.15624865114688874,0.22436329752206802,0.025325816046678377,0.041927936673025,0.17537558729518662,0.05635207198167222,0.02174438529965296,0.4294477803508812,0.006638997724071407,0.4304563919450446,0.11768693096935749,0.166493206769228,0.7116439616680146,0.9754618930816651,1.5505500376224517,0.6315708988904953,0.9756609028577805,1.571606148481369,0.6232048255205155,0.9697649335861206,1.0032978856563568,0.9823821461200715,0.05984516506795129,0.08672962156461798,0.8179474816341354,0.43118402044037835,0.8810060757668421,0.5759947413249955,0.010799334105417785,0.033503081367740994,0.007193194557743665,0.4302348583925542,0.8757891450934405,0.577769567272523,0.0,0.0,0.0,0.0,0.38261258568276474,False,False
4,0.0,0.25,0.0,-0.23729065246215736,0.35099198639392853,0.278904504391124,0.23729065246215736,0.02929181171581149,0.04939459037035704,0.19213173642754555,0.06529479160904884,0.02024018726311624,0.16037974148988723,0.1583054046332836,0.2428079254925251,0.025099253800397636,0.04099732443471028,0.17538035335289837,0.05621482854013818,0.022708286959290027,0.4389933579207983,0.006845626160307319,0.4400006716901606,0.12105367422103881,0.16682398870587348,0.7299530059099197,1.0037039506435395,1.5477745497226716,0.650956859588623,1.0036965078115463,1.5686994254589082,0.64226064234972,1.0036368459463119,1.0128497231006621,1.00592021048069,0.05875923945869884,0.08672962156461798,0.8021307851693208,0.42969988308756824,0.8810060757668421,0.5740940705980501,0.01052588387786755,0.033503081367740994,0.007019314891992624,0.4287727842754312,0.8757891450934405,0.5758230737255672,0.0,0.0,0.0,0.0,0.3704629505353376,False,False
5,0.0,0.25,0.0,-0.24597303914018873,0.34614164382219315,0.2713383128988964,0.24597303914018873,0.029311700500547887,0.048045174404978755,0.1888490326702595,0.06414126556366682,0.020507271382957697,0.16153548806905746,0.15926822803914548,0.254045165926218,0.025913283898255774,0.04007167485187789,0.1678686038772726,0.05595198631860815,0.02166650782685719,0.44539821693495574,0.006274405761406686,0.4467062928013885,0.12103812955319881,0.16503761917352677,0.7385566306114196,1.0053191477060317,1.5412290799617767,0.6550031268596649,1.005725793838501,1.561946997642517,0.6465607249736786,0.9939920079708099,1.0081970119476318,1.000432620048523,0.0670816634775271,0.08672962156461798,0.9161848561397171,0.507473221154028,0.8810060757668421,0.677917993368242,0.012671477765807458,0.033503081367740994,0.008443499658006372,0.5063789547701283,0.8757891450934405,0.680050451549037,0.0,0.0,0.0,0.0,0.3893167280007641,False,False
6,0.0,0.25,0.0,-0.24519315976233744,0.3427268755435944,0.2746286457547346,0.24519315976233744,0.029582764096558092,0.04776048611849546,0.18506663158535958,0.06322214126586914,0.02136530974879861,0.16598789200186728,0.1639003910124302,0.250383095741272,0.025824223525198725,0.04039995779396813,0.17106116669391186,0.05589478406890221,0.0230371209302568,0.45674124285829587,0.0065939699775457,0.45807757012816436,0.12107642441987991,0.16680147305130957,0.7295525974035263,1.0072734159231187,1.5487154161930083,0.6526835131645202,1.0076181000471116,1.5697292947769166,0.6441803681850433,0.9983304989337921,1.0057208251953125,1.0075432580709458,0.06369814820348853,0.08672962156461798,0.8715714280779842,0.47864397972142075,0.8810060757668421,0.6403560455057415,0.011892099977505892,0.033503081367740994,0.007930046745868287,0.4776195838718525,0.8757891450934405,0.6423545792760181,0.0,0.0,0.0,0.0,0.3301492560578268,False,False
7,0.0,0.25,0.0,-0.23968020310156926,0.3361869582533836,0.2677494641409683,0.23968020310156926,0.029028390161693098,0.04655060306191444,0.18153304636478423,0.06152383010834456,0.020119578717276453,0.1655149829387665,0.16330555692315102,0.2582869692146778,0.0254325277048805,0.0405834828342809,0.16443506990834533,0.05596198999037364,0.02440571921079336,0.44297231554107963,0.006512539486945129,0.44417892233929085,0.11979312106966972,0.16378679558634757,0.7346236652135849,0.9982037872076035,1.528261831998825,0.6551177614927292,0.9982508343458175,1.548197146654129,0.6467212557792663,0.9975841253995895,1.003116564154625,1.0089199846982957,0.05966678344568999,0.08672962156461798,0.8166241826202704,0.4631403087863513,0.8810060757668421,0.6197166321461658,0.011656527668479256,0.033503081367740994,0.007773284401318604,0.46215621782502775,0.8757891450934405,0.6217080818193038,0.0,0.0,0.0,0.0,0.3331761488458225,False,False
8,0.0,0.25,0.0,-0.23812711747607798,0.3373228633403778,0.2655323257974324,0.23812711747607798,0.029581828936934472,0.04712621096521616,0.18045904099941254,0.062273136861622336,0.020946628889068963,0.16796177715063096,0.16578300654888153,0.25474276527762413,0.02505117118180222,0.0401589904897531,0.16274086794014478,0.05604701557407238,0.026799061517753214,0.4424182744168302,0.00645510431744687,0.4436536008096541,0.12052869595587254,0.16606061324477195,0.7292789959907532,1.0049605882167816,1.5441600382328033,0.6524986243247985,1.0054426449537277,1.563998132944107,0.6445055139064789,0.9925703865289688,1.0236907887458802,0.9793841505050659,0.057416473425137816,0.08672962156461798,0.7859303416337942,0.4644287743143554,0.8810060757668421,0.6213428449379504,0.011771183154249685,0.033503081367740994,0.007844122705769993,0.46342869567327005,0.8757891450934405,0.6233434183570211,0.0,0.0,0.0,0.0,0.29484352203390257,False,False
