epoch,train_loss,train_pose,train_std_ratio,train_acc,val_loss,val_nmpjpe,val_pose,val_std_ratio,val_acc,selection_score
1,0.9155469538921941,0.11015148435593698,0.2739271958970301,0.08114525140021576,0.9570492441999985,0.19104779492345947,0.09971787788680939,0.15624941959205985,0.038446190296183916,0.050866340958751755
2,0.8558668993229116,0.1025277934552238,0.18773120965181306,0.1370489990720726,0.9930975377953607,0.19217117255295077,0.10027963471711462,0.21899398413288992,0.039032298287841084,0.07280447099545245
3,0.8215541490914816,0.10117031935325929,0.21108971217443537,0.1790689844444858,0.9999896169452094,0.19308794490274817,0.10103975864498228,0.2751921706365252,0.03880783139930905,0.09245550082472884
4,0.7923985757974273,0.10000381740932453,0.2334898120626296,0.21733672519683458,1.0272951269212216,0.1954564608686478,0.10285514375265288,0.32306887310428917,0.03809701957775777,0.10916497636912825
5,0.765773529423206,0.09880221980279764,0.25460692555758824,0.24940684025680554,1.0496606208080217,0.1945140481835099,0.10173311682172005,0.3842560117939551,0.0376356154126499,0.13059932316421408
6,0.7412504577341787,0.09765445004854313,0.27220897355131024,0.27968417465425166,1.0628610924571986,0.19686954444721907,0.1033255735338143,0.44743810871144246,0.03898241676019454,0.1526659471600605
7,0.7164351540095123,0.0963305448615256,0.2925019164206215,0.3072259909661408,1.0957908405985881,0.19729782238775453,0.10340951511090289,0.4782203365835054,0.038757949868689336,0.1634311613564718
8,0.6910222329716633,0.09500482662953287,0.3117962103018928,0.33836625433167933,1.122394193418455,0.19781420599315688,0.10421771889970344,0.5134391076049836,0.03797231575009353,0.17574740354188112
9,0.6647143089238492,0.09350591944047477,0.33229534285171264,0.3666109670212244,1.1340696868671714,0.19819511787703187,0.10424050283649049,0.5348845632835314,0.03832148646889132,0.18324569479169536
10,0.6373567715322885,0.09193673950797639,0.3528064347131673,0.3986524009076672,1.1945861508266813,0.20035936907017404,0.10522280800690421,0.6127217899409148,0.03874547948622023,0.21044543909791666
11,0.607279012941496,0.0900187436060152,0.37994361706286167,0.43313173384830084,1.2318757914503786,0.20027484385126443,0.10530730491193516,0.624332475572293,0.03823419378974934,0.21451086957327725
12,0.5763676468125364,0.08786804942564307,0.4033248312265894,0.4667186253040387,1.256077756749705,0.2038406676366927,0.10728633276730765,0.7213220187398409,0.036288814066591846,0.24838589320621046
13,0.543830622995461,0.08572823496302032,0.42577062487744943,0.5039214219270662,1.3052696783653532,0.2029722445236208,0.10707371238331528,0.7343914718963304,0.03946876169061227,0.2529775702732432
14,0.5103134238425009,0.08355384134796745,0.44740619186344666,0.5432345703755582,1.360883241767731,0.20712149856891518,0.10894525065016518,0.8228417377353592,0.039568524753709935,0.2838521782359974
15,0.4772145370555133,0.08139197046423281,0.46671747295550126,0.581841497091132,1.4018379272346053,0.20667280706700458,0.10884811867073536,0.8158080260821122,0.04057862576381095,0.28139935298739915
16,0.44477133898856824,0.07934373556075101,0.4854734904487325,0.6209114791389855,1.482252631708933,0.2076827137978509,0.10951928535606635,0.8669798860750318,0.038969946377353785,0.2992893058503041
17,0.4136219521997837,0.0772072802441223,0.5033735215830404,0.6583295923323985,1.554164220088883,0.21033267036260608,0.1111415861871998,0.9139853296515977,0.03884524254894625,0.31568821197080704
18,0.3845190189285271,0.07514850426010389,0.5203526784373775,0.6930608207096791,1.5719554504412847,0.20970782988430303,0.11082758941169778,0.9299676514412195,0.03969322858211747,0.32129452140674075
19,0.35813479052956165,0.07317830539246796,0.534526025402194,0.7260869746196774,1.6633483651511196,0.2119079232197299,0.11183454784439127,0.9750841650868878,0.03807207881244791,0.3370412993160161
20,0.3343074752964787,0.07141110476727783,0.5468071658827264,0.7549531125394421,1.7227125575468418,0.21230768194288102,0.11227538216172021,0.9888235277926808,0.0392318244170096,0.34184208108858066
21,0.31328744508462814,0.0698105042959368,0.5583323710386219,0.7798109537396352,1.8093124046812095,0.21397549029723534,0.1130607244033798,1.0304085025437708,0.03733632622521511,0.356363466084375
22,0.2941683033705709,0.06833845803310466,0.5688697772438014,0.8044584663696319,1.84542921828962,0.2130563820831079,0.11265707344229285,1.019663632608795,0.03923182441663796,0.35262114377141607
23,0.27914330340083465,0.06712303734150346,0.5770416705373375,0.8218928737965756,1.9253681882329527,0.2160762011239261,0.11433439102329984,1.065380165047413,0.038545953360396526,0.368561533744116
24,0.2653828744389301,0.06584660090054166,0.5866646698162448,0.838438996437161,1.9485131670938405,0.21564534552035777,0.11415157048727363,1.0617900061018672,0.03875794986906098,0.36731359522524637
25,0.25385203551432656,0.06466698077643336,0.5948927399523241,0.8523136140200394,1.9720388489123932,0.2159794980691903,0.11449967977753571,1.0650207535571508,0.03925676518269111,0.3684376737836189
26,0.24299846253010718,0.0635875477711986,0.6028206748122324,0.8654387802813212,2.040462699295027,0.21848688718423476,0.1157307748441343,1.1160739540801052,0.03862077565744105,0.3862561461843521
27,0.2350322425615188,0.0626773750089876,0.6095265448569109,0.8746736997951057,2.074952972100283,0.21916437832282537,0.11614661555287101,1.1251733464067275,0.03814690110986407,0.3894273836758981
28,0.2271971083279619,0.06157200309579504,0.6183810983884839,0.8832709829948088,2.1015647574989766,0.219289006344293,0.11614268723141748,1.145420514006079,0.0382341937893777,0.39651139977524175
29,0.22021714785840163,0.0606120211538299,0.6256976949983089,0.889984869662039,2.1134724029743666,0.21619834280850986,0.11455862943200582,1.0998736925308863,0.039057239057239054,0.38063182552964
30,0.21365020240984817,0.05970151714552476,0.6332419366833694,0.8969381817178734,2.1678134523673105,0.21599710665969335,0.11441215196368194,1.0874759983742888,0.03746103005362265,0.3762966572978072
31,0.20885290094879466,0.05893963110965438,0.6391761593716866,0.9020326217221719,2.1903368484588883,0.21774511511693914,0.11552405921984588,1.1424187427685584,0.03879536101758324,0.39549165766665667
32,0.20284092453652539,0.05807723006098297,0.6467399598595055,0.9077360169086471,2.2538821503800603,0.22157500598708327,0.11733507289804267,1.1751448114965752,0.03915700211996508,0.4068691839040597
33,0.19880411100216322,0.057201302120520034,0.654384824935665,0.9104370344712652,2.251063645488084,0.21918276881603754,0.11634178325535725,1.1503192618491123,0.03918194288564659,0.39822808627086853
34,0.19406328545340706,0.056443427431457346,0.6616080507267407,0.915350242771345,2.273580404040908,0.21831698363737687,0.11600274057374332,1.1378917324541513,0.03991769547325103,0.3938957666862054
35,0.1891737142332487,0.05571413216019809,0.6678142727420316,0.9213616487176914,2.2515190850857385,0.2199070770104399,0.11691125607584195,1.177284507484474,0.040341688488721696,0.4076514360793571
