[run] config=configs/default.yaml device=cuda:0
[run] model=resnet1d
[run] window_size=1
[run] normalize_mode=mean_rms
[run] aoa_cache_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\aoa_cache
[run] labels_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\dataset
[run] val_env=env3 test_env=env4
[run] logs_file=C:\Users\LuvRene\OneDrive\PythonProjects\Positioning\pose_estimationV2\logs\train\ablation_meanrms_interdiv_divsel_actionaux010_resnet1d_20260327-171409.log
[run] selection_mode=diversity_first lambda_var=0.000 lambda_batch_div=0.000 lambda_inter_div=0.250 lambda_intra_div=0.000
[data] dataset_size=320760 train_size=160380 val_size=80190 test_size=80190 batch_size=64 window_size=1
[run] action_aux enabled=True lambda_cls=0.100 num_actions=27
[epoch_start] epoch=1/8 train_size=160380 val_size=80190 test_size=80190 lr=3.000e-04 lambda_batch_div=0.000 lambda_inter_div=0.250 lambda_intra_div=0.000
[train] epoch=1/8 step=1/100 loss=2.504015 grad_norm=5.732 action_cls=3.289272 action_acc=0.031
[train] epoch=1/8 step=2/100 loss=2.225476 grad_norm=5.109 action_cls=3.331255 action_acc=0.062
[train] epoch=1/8 step=3/100 loss=1.973249 grad_norm=5.004 action_cls=3.296287 action_acc=0.031
[train] epoch=1/8 step=4/100 loss=1.794983 grad_norm=4.088 action_cls=3.323165 action_acc=0.031
[train] epoch=1/8 step=5/100 loss=1.604947 grad_norm=3.837 action_cls=3.293301 action_acc=0.062
[train] epoch=1/8 step=6/100 loss=1.429907 grad_norm=3.450 action_cls=3.309562 action_acc=0.062
[train] epoch=1/8 step=7/100 loss=1.352502 grad_norm=3.206 action_cls=3.315110 action_acc=0.062
[train] epoch=1/8 step=8/100 loss=1.222033 grad_norm=3.087 action_cls=3.313683 action_acc=0.016
[train] epoch=1/8 step=9/100 loss=1.170633 grad_norm=2.763 action_cls=3.305261 action_acc=0.062
[train] epoch=1/8 step=10/100 loss=1.085038 grad_norm=2.557 action_cls=3.342024 action_acc=0.078
[train] epoch=1/8 step=11/100 loss=1.025933 grad_norm=2.359 action_cls=3.341907 action_acc=0.016
[train] epoch=1/8 step=12/100 loss=1.018042 grad_norm=2.426 action_cls=3.355301 action_acc=0.031
[train] epoch=1/8 step=13/100 loss=1.015386 grad_norm=2.257 action_cls=3.343423 action_acc=0.016
[train] epoch=1/8 step=14/100 loss=0.950819 grad_norm=2.181 action_cls=3.310720 action_acc=0.016
[train] epoch=1/8 step=15/100 loss=0.891667 grad_norm=2.021 action_cls=3.287811 action_acc=0.109
[train] epoch=1/8 step=16/100 loss=0.895199 grad_norm=1.814 action_cls=3.334926 action_acc=0.000
[train] epoch=1/8 step=17/100 loss=0.894500 grad_norm=1.618 action_cls=3.313171 action_acc=0.016
[train] epoch=1/8 step=18/100 loss=0.857794 grad_norm=1.516 action_cls=3.316359 action_acc=0.047
[train] epoch=1/8 step=19/100 loss=0.834223 grad_norm=1.331 action_cls=3.315917 action_acc=0.031
[train] epoch=1/8 step=20/100 loss=0.821586 grad_norm=1.311 action_cls=3.291941 action_acc=0.078
[train] epoch=1/8 step=21/100 loss=0.804631 grad_norm=1.185 action_cls=3.309648 action_acc=0.031
[train] epoch=1/8 step=22/100 loss=0.806936 grad_norm=1.237 action_cls=3.301481 action_acc=0.062
[train] epoch=1/8 step=23/100 loss=0.783735 grad_norm=1.511 action_cls=3.296866 action_acc=0.047
[train] epoch=1/8 step=24/100 loss=0.798826 grad_norm=1.268 action_cls=3.287546 action_acc=0.078
[train] epoch=1/8 step=25/100 loss=0.780828 grad_norm=1.110 action_cls=3.303673 action_acc=0.062
[train] epoch=1/8 step=26/100 loss=0.795007 grad_norm=1.051 action_cls=3.268775 action_acc=0.047
[train] epoch=1/8 step=27/100 loss=0.787817 grad_norm=0.896 action_cls=3.302607 action_acc=0.062
[train] epoch=1/8 step=28/100 loss=0.772205 grad_norm=0.945 action_cls=3.280648 action_acc=0.031
[train] epoch=1/8 step=29/100 loss=0.785279 grad_norm=0.884 action_cls=3.301451 action_acc=0.016
[train] epoch=1/8 step=30/100 loss=0.723176 grad_norm=0.771 action_cls=3.277846 action_acc=0.094
[train] epoch=1/8 step=31/100 loss=0.762621 grad_norm=0.703 action_cls=3.282997 action_acc=0.062
[train] epoch=1/8 step=32/100 loss=0.763162 grad_norm=0.793 action_cls=3.297709 action_acc=0.016
[train] epoch=1/8 step=33/100 loss=0.741650 grad_norm=0.711 action_cls=3.310224 action_acc=0.016
[train] epoch=1/8 step=34/100 loss=0.721943 grad_norm=0.844 action_cls=3.315508 action_acc=0.031
[train] epoch=1/8 step=35/100 loss=0.736207 grad_norm=0.755 action_cls=3.291430 action_acc=0.000
[train] epoch=1/8 step=36/100 loss=0.760650 grad_norm=0.825 action_cls=3.290517 action_acc=0.047
[train] epoch=1/8 step=37/100 loss=0.751728 grad_norm=0.605 action_cls=3.301242 action_acc=0.000
[train] epoch=1/8 step=38/100 loss=0.744890 grad_norm=0.664 action_cls=3.297668 action_acc=0.047
[train] epoch=1/8 step=39/100 loss=0.733775 grad_norm=0.652 action_cls=3.278150 action_acc=0.125
[train] epoch=1/8 step=40/100 loss=0.713123 grad_norm=0.617 action_cls=3.291320 action_acc=0.016
[train] epoch=1/8 step=41/100 loss=0.754178 grad_norm=0.512 action_cls=3.306288 action_acc=0.047
[train] epoch=1/8 step=42/100 loss=0.725688 grad_norm=0.618 action_cls=3.316030 action_acc=0.031
