epoch,lr,train_loss,train_pose,train_std_ratio,train_acc,train_domain_loss,train_domain_acc,val_loss,val_nmpjpe,val_pose,val_std_ratio,val_acc,val_domain_loss,val_domain_acc,selection_mode,selection_score,best_val_nmpjpe_so_far,best_val_epoch_so_far,epochs_since_best,val_gap_from_best
1,0.00015,0.9461430823051349,0.11787192552318501,0.3803898102149712,0.060007232643443875,0.0,0.0,0.91367685422292,0.19089969771285056,0.09959602141498494,0.07887604789984227,0.042124953235321054,0.0,0.0,accuracy,-0.19089969771285056,0.19089969771285056,1,0,0.0
2,0.0003,0.9050426186320312,0.1047701967132396,0.17292805898158625,0.0738315542733203,0.0,0.0,0.9264581709063281,0.1907227880421207,0.099412117401573,0.09352018946252391,0.04499314128869429,0.0,0.0,accuracy,-0.1907227880421207,0.19089969771285056,1,1,0.0
3,0.0003,0.8930893255678635,0.10373405259509898,0.15474651745875073,0.08781549281902248,0.0,0.0,0.9312498726070574,0.19124364109686864,0.1000887250782085,0.12083759864308855,0.041513904475752504,0.0,0.0,accuracy,-0.19124364109686864,0.19089969771285056,1,2,0.00034394338401808056
4,0.00029795677196206826,0.883855120168147,0.10315780678477082,0.14953943684768506,0.09882822892043654,0.0,0.0,0.9382575388634974,0.19241522767698696,0.10082340423997493,0.12527994998974729,0.04383339568487589,0.0,0.0,accuracy,-0.19241522767698696,0.19089969771285056,1,3,0.0015155299641363973
5,0.0002918966675285227,0.8755793057958887,0.10266097159335258,0.15068715121314608,0.10971335461697669,0.0,0.0,0.9525063421351905,0.19106899169016425,0.09965968160672978,0.15972814050427933,0.043197406159997474,0.0,0.0,accuracy,-0.19106899169016425,0.19089969771285056,1,4,0.00016929397731368923
6,0.00028202605628755367,0.8677361929359573,0.10223315575019608,0.1512015570945152,0.11913199987372491,0.0,0.0,0.9748296794027353,0.1932604067156716,0.10107706823109956,0.18821481826567327,0.043920688364761165,0.0,0.0,accuracy,-0.1932604067156716,0.19089969771285056,1,5,0.0023607090028210376
7,0.00026868107006647904,0.8597707944399627,0.10180155455126633,0.15584616536974716,0.12990281657454783,0.0,0.0,0.9771282074858474,0.19296100374981565,0.10090970420855241,0.22211242775018264,0.04539219353922675,0.0,0.0,accuracy,-0.19296100374981565,0.19089969771285056,1,6,0.0020613060369650826
8,0.00025231615636551075,0.8513859234756217,0.10145578205775758,0.15965794372325504,0.13903298749865672,0.0,0.0,0.9849590690404433,0.1925034438230284,0.10069726749089519,0.24669967072684057,0.04175084175009846,0.0,0.0,accuracy,-0.1925034438230284,0.19089969771285056,1,7,0.0016037461101778283
