[run] config=configs/default.yaml device=cuda:0
[run] model=resnet1d
[run] window_size=1
[run] normalize_mode=mean_rms
[run] aoa_cache_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\aoa_cache
[run] labels_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\dataset
[run] val_env=env3 test_env=env4
[run] logs_file=C:\Users\LuvRene\OneDrive\PythonProjects\Positioning\pose_estimationV2\logs\train\ablation_meanrms_interdiv_divsel_actionaux_resnet1d_20260327-164217.log
[run] selection_mode=diversity_first lambda_var=0.000 lambda_batch_div=0.000 lambda_inter_div=0.250 lambda_intra_div=0.000
[train] epoch=1/8 step=51/100 loss=1.057734 grad_norm=0.696 action_cls=3.322539 action_acc=0.016
[train] epoch=1/8 step=52/100 loss=1.031664 grad_norm=0.503 action_cls=3.293099 action_acc=0.016
[train] epoch=1/8 step=53/100 loss=1.112624 grad_norm=0.508 action_cls=3.306927 action_acc=0.031
[train] epoch=1/8 step=54/100 loss=1.053839 grad_norm=0.433 action_cls=3.275361 action_acc=0.062
[train] epoch=1/8 step=55/100 loss=1.076078 grad_norm=0.472 action_cls=3.306768 action_acc=0.016
[train] epoch=1/8 step=56/100 loss=1.019935 grad_norm=0.502 action_cls=3.299418 action_acc=0.016
[train] epoch=1/8 step=57/100 loss=1.012462 grad_norm=0.530 action_cls=3.306088 action_acc=0.031
[train] epoch=1/8 step=58/100 loss=1.068091 grad_norm=0.534 action_cls=3.282444 action_acc=0.062
[train] epoch=1/8 step=59/100 loss=1.066895 grad_norm=0.537 action_cls=3.327322 action_acc=0.000
[train] epoch=1/8 step=60/100 loss=1.034345 grad_norm=0.531 action_cls=3.306265 action_acc=0.000
[train] epoch=1/8 step=61/100 loss=1.031183 grad_norm=0.466 action_cls=3.281209 action_acc=0.062
[train] epoch=1/8 step=62/100 loss=1.072115 grad_norm=0.503 action_cls=3.302417 action_acc=0.062
[train] epoch=1/8 step=63/100 loss=1.076971 grad_norm=0.523 action_cls=3.325605 action_acc=0.016
[train] epoch=1/8 step=64/100 loss=1.057139 grad_norm=0.404 action_cls=3.313110 action_acc=0.016
[train] epoch=1/8 step=65/100 loss=1.035688 grad_norm=0.556 action_cls=3.285604 action_acc=0.062
[train] epoch=1/8 step=66/100 loss=1.086663 grad_norm=0.543 action_cls=3.300769 action_acc=0.016
[train] epoch=1/8 step=67/100 loss=1.033747 grad_norm=0.603 action_cls=3.296073 action_acc=0.047
[train] epoch=1/8 step=68/100 loss=1.011333 grad_norm=0.858 action_cls=3.295730 action_acc=0.031
[train] epoch=1/8 step=69/100 loss=1.040080 grad_norm=0.457 action_cls=3.280343 action_acc=0.062
[train] epoch=1/8 step=70/100 loss=1.058650 grad_norm=0.564 action_cls=3.305275 action_acc=0.016
[train] epoch=1/8 step=71/100 loss=1.034258 grad_norm=0.580 action_cls=3.299489 action_acc=0.031
[train] epoch=1/8 step=72/100 loss=1.038293 grad_norm=0.546 action_cls=3.299314 action_acc=0.031
[train] epoch=1/8 step=73/100 loss=1.025329 grad_norm=0.459 action_cls=3.281415 action_acc=0.078
[train] epoch=1/8 step=74/100 loss=1.043264 grad_norm=0.458 action_cls=3.286254 action_acc=0.047
[train] epoch=1/8 step=75/100 loss=1.083978 grad_norm=0.344 action_cls=3.280284 action_acc=0.031
[train] epoch=1/8 step=76/100 loss=1.050002 grad_norm=0.465 action_cls=3.304151 action_acc=0.062
[train] epoch=1/8 step=77/100 loss=1.093538 grad_norm=0.444 action_cls=3.302347 action_acc=0.031
[train] epoch=1/8 step=78/100 loss=1.020636 grad_norm=0.574 action_cls=3.307269 action_acc=0.062
[train] epoch=1/8 step=79/100 loss=1.033176 grad_norm=0.525 action_cls=3.301651 action_acc=0.016
