epoch,lr,train_loss,train_pose,train_std_ratio,train_acc,train_domain_loss,train_domain_acc,val_loss,val_nmpjpe,val_pose,val_std_ratio,val_acc,val_domain_loss,val_domain_acc,selection_mode,selection_score,best_val_nmpjpe_so_far,best_val_epoch_so_far,epochs_since_best,val_gap_from_best
1,0.00015,0.9292518827597427,0.11744840257613068,0.38418744417042705,0.08592752394610563,0.0,0.0,0.9567869784900681,0.19118545801320833,0.09983100336449657,0.12413538947491475,0.03613916947213116,0.0,0.0,accuracy,-0.19118545801320833,0.19118545801320833,1,0,0.0
2,0.0003,0.8599592803338957,0.10414764458716438,0.1998914455532647,0.14054103485246897,0.0,0.0,1.0129870232805556,0.19144007574554572,0.09981302297933692,0.17165443662719873,0.03822172340505036,0.0,0.0,accuracy,-0.19144007574554572,0.19118545801320833,1,1,0.0002546177323373977
3,0.0003,0.8151731159291263,0.1024393018213207,0.2116189289299945,0.1961463321377921,0.0,0.0,1.0136725438222398,0.19305366288398118,0.10104445920633934,0.2551169591062844,0.03981793240978171,0.0,0.0,accuracy,-0.19305366288398118,0.19118545801320833,1,2,0.001868204870772855
4,0.00029795677196206826,0.7776711766993819,0.10096957998949342,0.2315694809269163,0.24280809391667532,0.0,0.0,1.044525246588068,0.1947291107914486,0.10220089680403155,0.293971776173275,0.03749844120140161,0.0,0.0,accuracy,-0.1947291107914486,0.19118545801320833,1,3,0.003543652778240286
5,0.0002918966675285227,0.742812037729589,0.09963476521402288,0.2506612336288332,0.28568352620932735,0.0,0.0,1.0740594591965387,0.1940800305907009,0.10149276761647279,0.3697987021338778,0.036787629380221974,0.0,0.0,accuracy,-0.1940800305907009,0.19118545801320833,1,4,0.0028945725774925657
6,0.00028202605628755367,0.7076289211381271,0.09823806791700845,0.2681494690626503,0.3291932694905297,0.0,0.0,1.1083413432640155,0.19637485645940914,0.10295613079887775,0.41296307514664954,0.03691233320862951,0.0,0.0,accuracy,-0.19637485645940914,0.19118545801320833,1,5,0.00518939844620081
7,0.00026868107006647904,0.671431814896423,0.09675007136590653,0.2879206800665364,0.37046463489056775,0.0,0.0,1.1621370760367864,0.19714522333807563,0.10310932293818588,0.47671766681837047,0.03915700211996508,0.0,0.0,accuracy,-0.19714522333807563,0.19118545801320833,1,6,0.0059597653248673055
8,0.00025231615636551075,0.6312958025637381,0.0952614853626856,0.3069651756444552,0.4196166699991546,0.0,0.0,1.1936257794010683,0.19727951062187946,0.10354794891884922,0.5026435355612994,0.038296545703581465,0.0,0.0,accuracy,-0.19727951062187946,0.19118545801320833,1,7,0.00609405260867113
