epoch,train_loss,train_pose,train_std_ratio,train_acc,train_domain_loss,train_domain_acc,val_loss,val_nmpjpe,val_pose,val_std_ratio,val_acc,val_domain_loss,val_domain_acc,selection_mode,selection_score
1,0.9665500691958836,0.10999422617916668,0.27428532081989887,0.0852379289776063,0.5578957035340791,0.7066299215327808,0.9686135159093018,0.1928231585537173,0.10085398630060331,0.14865647027756096,0.04115226337262737,0.834500335566286,0.5396308766723734,balanced,-0.32011873509265387
2,0.8973169633130121,0.10245464732372465,0.19131772472253344,0.1474748104572867,0.4849799548685313,0.7580606544483973,1.0011531591950575,0.19294874771810674,0.1009282272338332,0.22585762860970035,0.03885771293067207,0.8788630780146178,0.513642598822581,balanced,-0.30326006942397266
3,0.8566846121622863,0.10116473977518671,0.21177291836223883,0.19368390862644908,0.45019370599308683,0.778862396931515,1.0187480351294287,0.19427882113098757,0.10186387340127419,0.32814955782200544,0.03941888015850596,0.9550505729161053,0.4526499563506869,balanced,-0.2820859184101464
4,0.8205193094938922,0.09992106263923435,0.23579501611584203,0.23724852022488213,0.42447502179114416,0.7942130553513076,1.0399588886438902,0.19488851470250948,0.10231542227563752,0.35036693360163607,0.036613044019708135,1.0726415623719443,0.4021947873766277,balanced,-0.2778077893101496
5,0.7865042341583173,0.09857549810304893,0.2585869988356698,0.27607616720348,0.4031252535112077,0.8069030161105626,1.059046802892101,0.19567000518261102,0.1025388903073174,0.40886698891908724,0.03931911709615158,1.1131638284721999,0.40362888140219944,balanced,-0.2657192676204118
6,0.7541531953731728,0.0972177667895604,0.2805037120296207,0.31285415004703965,0.38377309987189195,0.8177499002632101,1.0821063380836622,0.19695010350772993,0.10341948990881153,0.4372782193933554,0.03867065718917571,1.0251885419118463,0.4466517022039129,balanced,-0.2607488952411917
7,0.7215164331369941,0.09578872588890511,0.30124516979585336,0.3487401070803142,0.367111698227079,0.8271793529022625,1.1096110384338498,0.19712027810185995,0.10332449426718195,0.4727629863921507,0.03955605437086918,1.1341719522397704,0.40293053996237393,balanced,-0.25311242109558685
8,0.687567155858753,0.09420352737461674,0.3226775530032986,0.38600151303855307,0.35051205612760683,0.8364383812342656,1.1684194521128588,0.19724794291456912,0.10297335912453176,0.526284133270801,0.03936899862714295,1.2621322175781244,0.4003367003333555,balanced,-0.24146543359499292
9,0.6494507302975331,0.09235989858365877,0.34689047858297395,0.43059656824336845,0.3342066475763287,0.845736898119128,1.2150511450564747,0.20061543699860765,0.10529661772163866,0.5632533198930272,0.039306646713682475,1.181586354036613,0.4116847487180693,balanced,-0.23669970662214168
10,0.6111575090590231,0.0904132965431866,0.3719761814603973,0.47253882349821824,0.31843831864054073,0.8538528365415282,1.2750170420553786,0.2021064409395453,0.10624100878613595,0.6601517344237653,0.03773537847574757,1.4195433545519933,0.37741613667093615,balanced,-0.21687305936631696
11,0.5697409693517403,0.08827211478901975,0.3978872041070071,0.5215628325511052,0.30280267384203546,0.8621391992709776,1.3565429559742843,0.2027343657790819,0.1065672126837555,0.6839102203292373,0.0372615039281706,1.348977496725378,0.41712183563626604,balanced,-0.21227411730664972
12,0.5280875621894219,0.08584344419312544,0.4225071678019864,0.5685334364271887,0.2845915359194433,0.8722890064132185,1.4109241989399521,0.20260789715778443,0.10666131499789126,0.7084317136069518,0.037623145029809145,1.56300420517903,0.3763436837451448,balanced,-0.20675292016425503
13,0.48636531697828483,0.08346899995150703,0.4472035494739307,0.6157817072565804,0.26857169963128075,0.8802216347702388,1.469717796277875,0.2026387875592832,0.10670516783068908,0.7434236370174795,0.03835889761778523,1.7930378256868076,0.3340815563015486,balanced,-0.19908558741543772
14,0.4460459018552769,0.08103228426714564,0.47111150477280733,0.6635454077056571,0.25215163061370016,0.8889087024728298,1.5801614036612386,0.20515032401033167,0.10805505702978419,0.7790847991972377,0.03795984536650948,1.6130794737193037,0.40916573138237894,balanced,-0.19375166818693937
15,0.40919466548601535,0.07860208480973437,0.4918681971092559,0.7070888201903079,0.23738696657757424,0.895735235449227,1.6307583577348372,0.20763756071247205,0.10939473745133577,0.8531687060560813,0.03879536101758324,1.5749137500230623,0.42509041027076405,balanced,-0.19163756071247207
16,0.3761445763747595,0.07633829369980483,0.5098543613197702,0.7447933293492529,0.2220080973608724,0.9041217744160155,1.7267265914934118,0.2111283490464253,0.11146801447021737,0.9280479606658626,0.037697967327596955,1.5536798382477357,0.4469260506241796,balanced,-0.1951283490464253
17,0.3478413912313801,0.07417861026015314,0.5256896709453935,0.7772171787994915,0.209098601557689,0.9100517092565489,1.8121415208827707,0.20943323134937433,0.11100804036614871,0.907141004534549,0.03751091158461401,2.0069795124309886,0.39513655068764647,balanced,-0.19343323134937435
18,0.32288847995679665,0.07239008323993334,0.5398691076092594,0.8063023743254607,0.19624850066513988,0.9159874634464931,1.9277887443872384,0.2110166936815491,0.11167324169297693,0.9569980150759257,0.03708691856765676,2.0414529261617,0.40400299288742203,balanced,-0.1950166936815491
19,0.3026609497839036,0.07060833243357355,0.552153951747838,0.8283756484722767,0.18437722133708923,0.9207576815832736,1.9057808264099552,0.21332625093855812,0.11315786066120262,1.009479651764483,0.03828407532111236,2.089449203113975,0.4015587978498911,balanced,-0.1973262509385581
20,0.2865977386118218,0.0689699339687063,0.563472547213839,0.8464880121153826,0.17579102598975063,0.9252764199461255,2.034418816536141,0.21366680188694268,0.1128120899421569,1.003312977612918,0.03829654570395311,2.0524151127450496,0.43318368873255464,balanced,-0.1976668018869427
