epoch,batch_div_lambda,inter_div_lambda,intra_div_lambda,selection_score,train_loss,val_loss,val_nmpjpe,train_pose_loss,train_rel_loss,train_dist_loss,train_dir_loss,train_var_loss,train_batch_div_loss,train_inter_div_loss,train_intra_div_loss,val_pose_loss,val_rel_loss,val_dist_loss,val_dir_loss,val_var_loss,val_batch_div_loss,val_inter_div_loss,val_intra_div_loss,train_pred_std_mean,train_target_std_mean,train_std_ratio,train_pred_pair_dist_mean,train_target_pair_dist_mean,train_pair_dist_ratio,train_pred_inter_pair_dist_mean,train_target_inter_pair_dist_mean,train_inter_pair_dist_ratio,train_pred_intra_pair_dist_mean,train_target_intra_pair_dist_mean,train_intra_pair_dist_ratio,val_pred_std_mean,val_target_std_mean,val_std_ratio,val_pred_pair_dist_mean,val_target_pair_dist_mean,val_pair_dist_ratio,val_pred_inter_pair_dist_mean,val_target_inter_pair_dist_mean,val_inter_pair_dist_ratio,val_pred_intra_pair_dist_mean,val_target_intra_pair_dist_mean,val_intra_pair_dist_ratio,train_action_cls_loss,train_action_acc,val_action_cls_loss,val_action_acc,grad_norm_mean,nan_loss,nan_grad
1,0.0,0.0,0.0,-0.1988044696546787,0.4698910894989967,0.26812282788224284,0.1988044696546787,0.045373949129134415,0.08465117186307908,0.27519136890769,0.1070001819729805,0.0149163029785268,0.12661866344511508,0.12369314089417457,0.2703495670855045,0.020539421159488362,0.04041113326181303,0.17139952779076376,0.05597831241425054,0.04350574954801596,0.5175024563125399,0.009932543122719345,0.5175128205010742,0.14646005026996137,0.16355490267276765,0.9017769461870193,1.2079959964752198,1.5286716163158416,0.7937037748098373,1.2080249625444412,1.5487954592704773,0.7834034836292267,1.2074847680330276,0.9978288966417312,1.2259498274326324,0.009002194465370877,0.08672962156461798,0.12336404677756871,0.07495991222031739,0.8810060757668421,0.10022731549440439,0.0018434456153200785,0.033503081367740994,0.0012390710436683862,0.07483628801569438,0.8757891450934405,0.10059074473910266,0.0,0.0,0.0,0.0,1.0673266610068048,False,False
2,0.0,0.0,0.0,-0.1980712876376078,0.31925490260124206,0.2881143311280416,0.1980712876376078,0.026217005904763935,0.0509212414175272,0.20097927764058113,0.06659799836575984,0.027327153775841,0.19915029719471933,0.19795383766293526,0.21669479221105575,0.021230467340744838,0.04183257718806642,0.1898183129972198,0.056149262185405356,0.04775620683877155,0.5529462935547235,0.010482179965442486,0.5530227650340201,0.095828602835536,0.1670531678199768,0.5767973414063454,0.7965365314483642,1.5514887416362761,0.5151551869511605,0.796490662097931,1.5723103094100952,0.5083039909601211,0.7979598224163056,1.0196614950895309,0.7917253988981247,0.004308080284011113,0.08672962156461798,0.059136920653200906,0.03560432247117892,0.8810060757668421,0.047762186567724484,0.0008752349814745476,0.033503081367740994,0.0005895780586426299,0.03555484392043435,0.8757891450934405,0.04795838695766028,0.0,0.0,0.0,0.0,0.3788231491841303,False,False
3,0.0,0.0,0.0,-0.19730453361469188,0.3043335685133934,0.286075066976423,0.19730453361469188,0.024805488977581263,0.04829095777124166,0.19086091324687005,0.06452168695628643,0.03436740804463625,0.24207404360175133,0.24090782165527344,0.24234895512461663,0.021392967096958572,0.042136471241216424,0.18764489123887856,0.05596897316331696,0.04605089908567714,0.5381570836198138,0.010279202963708567,0.5382166701758171,0.07858395606279373,0.166493206769228,0.4757480454444885,0.6574890041351318,1.5505500376224517,0.42600109696388244,0.6574082517623902,1.571606148481369,0.4202102869749069,0.6592124813795089,1.0032978856563568,0.6686991733312607,0.006184960547023981,0.08672962156461798,0.08439664401588765,0.05195050152523408,0.8810060757668421,0.06930542629821176,0.001243613408173479,0.033503081367740994,0.0008338814721854938,0.05186289855333498,0.8757891450934405,0.06954996871902158,0.0,0.0,0.0,0.0,0.33118238159046615,False,False
4,0.0,0.0,0.0,-0.19596896725025598,0.2951371243596077,0.2654320997770535,0.19596896725025598,0.024045624155551195,0.04687947053462267,0.18432656288146973,0.06332520350813865,0.039017054438591006,0.26889621108770373,0.267706448584795,0.26426310583949086,0.020397536876243367,0.04015199671466796,0.16899609476725558,0.0559624700980199,0.04884044482044143,0.5613857322373077,0.010546577968328637,0.5615262054314799,0.06935501709580422,0.16682398870587348,0.4181192928552628,0.5833566927909851,1.5477745497226716,0.37826001703739165,0.5832821828126907,1.5686994254589082,0.3731610417366028,0.5849596607685089,1.0128497231006621,0.5869003954529762,0.003211087452983831,0.08672962156461798,0.043617756605800556,0.026819496493159886,0.8810060757668421,0.0358197534686573,0.0007724732558229853,0.033503081367740994,0.0005214783010793187,0.026733150263528883,0.8757891450934405,0.035923179624431936,0.0,0.0,0.0,0.0,0.34295727153293787,False,False
5,0.0,0.0,0.0,-0.1949026226306113,0.2909471344947815,0.2694720782470578,0.1949026226306113,0.023453123066574336,0.04579005185514688,0.1820804700255394,0.06251851443201303,0.04234398379921913,0.2851641482114792,0.28384470254182814,0.2822574399411678,0.020458796779967845,0.04028982163773561,0.17298878589381392,0.05587958505497726,0.049545940845249624,0.5678562996363399,0.010688276822496522,0.5679903684299863,0.0633472079783678,0.16503761917352677,0.38659661769866943,0.5357188388705254,1.5412290799617767,0.349061042368412,0.5357620522379876,1.561946997642517,0.3444562527537346,0.534448359310627,1.0081970119476318,0.5374749290943146,0.0024954664117857223,0.08672962156461798,0.03383683504715371,0.020137323477493734,0.8810060757668421,0.026805422290061415,0.0005154239713647654,0.033503081367740994,0.00035023949868453975,0.020094070091150485,0.8757891450934405,0.02690106868987325,0.0,0.0,0.0,0.0,0.31784489306625163,False,False
6,0.0,0.0,0.0,-0.1948527484080458,0.2864285886287689,0.2686173954792994,0.1948527484080458,0.023344435915350913,0.04558678936213255,0.17847867116332053,0.061812086366117,0.04629413444548845,0.30156868070363996,0.30037093043327334,0.28770545676350595,0.02057161870712052,0.04049796490559652,0.17193665584285206,0.05586013820471572,0.049287659726541734,0.5644426021348183,0.010648175429964856,0.5645673910197005,0.058678832165896894,0.16680147305130957,0.3533904084563255,0.4976189488172531,1.5487154161930083,0.32236436009407043,0.4974947574734688,1.5697292947769166,0.31797045558691023,0.5004561579227448,1.0057208251953125,0.5050944635272026,0.0027539497564361753,0.08672962156461798,0.03762010910863821,0.023666382081642207,0.8810060757668421,0.03161238529278663,0.0005924611440069406,0.033503081367740994,0.00039673475928401125,0.023623307035012517,0.8757891450934405,0.03172598438415723,0.0,0.0,0.0,0.0,0.2679924936503994,False,False
7,0.0,0.0,0.0,-0.19595884109378858,0.2801451264321804,0.26923645873559743,0.19595884109378858,0.02264419212937355,0.04427064184099436,0.17520650640130042,0.06015910662710667,0.047534744068980214,0.30876471698284147,0.3075352129340172,0.2984568676352501,0.020769552299447384,0.04087741488289106,0.17195043691540465,0.05607776203302987,0.048897027498112755,0.5623286314922789,0.01059917136460026,0.5624337889336785,0.055430002845823764,0.16378679558634757,0.34008788973093035,0.4728433445096016,1.528261831998825,0.31037805274128916,0.47277520447969434,1.548197146654129,0.30632793471217157,0.47451874166727065,1.003116564154625,0.4799662140011787,0.003150609763832058,0.08672962156461798,0.04274086003015353,0.025978466569132334,0.8810060757668421,0.034539340278973436,0.0006710821084658662,0.033503081367740994,0.0004507448611109018,0.02593834075943418,0.8757891450934405,0.03468372223782397,0.0,0.0,0.0,0.0,0.26079091974631,False,False
8,0.0,0.0,0.0,-0.19635246292301092,0.2811188411712646,0.2578550856069431,0.19635246292301092,0.02297724151983857,0.04490626864135265,0.17470483869314193,0.06098362755030393,0.05089512541890144,0.3207897210121155,0.31953858107328414,0.3130195027589798,0.020385040340531436,0.04009495729745207,0.16123133580804183,0.05619123125369151,0.050055380954303445,0.5707658116114914,0.010718727516167656,0.5709126365929563,0.05266921132802963,0.16606061324477195,0.3187777528166771,0.4506220471858978,1.5441600382328033,0.29258353531360626,0.45067078292369844,1.563998132944107,0.288889437764883,0.4492622748017311,1.0236907887458802,0.4433710074424744,0.0019834886940926907,0.08672962156461798,0.026984804941819544,0.017113970195792576,0.8810060757668421,0.02281171744446614,0.000465625088208036,0.033503081367740994,0.0003135369965405458,0.017071730641420306,0.8757891450934405,0.02288856339613158,0.0,0.0,0.0,0.0,0.23659724898779547,False,False
