checkpoint,samples,target_global_mean_abs,pred_global_mean_abs,target_sample_std_mean,pred_sample_std_mean,target_across_dataset_std_mean,pred_across_dataset_std_mean,variance_ratio_pred_over_target,mse_pred_to_target,mse_meanpose_to_target,pred_target_mean_pose_gap
ablation_meanrms_base.pth,1600,0.5094149708747864,0.4840209186077118,0.7071067094802856,0.6483113765716553,0.1654719114303589,0.0035062485840171576,0.021189386025071144,0.04189325496554375,0.03929058834910393,0.05886664241552353
ablation_meanrms_interdiv.pth,1600,0.5094149708747864,0.4844916760921478,0.7071067094802856,0.6455434560775757,0.1654719114303589,0.014009942300617695,0.08466657996177673,0.042115163058042526,0.03929058834910393,0.06468989700078964
ablation_meanrms_interdiv_divsel.pth,1600,0.5094149708747864,0.49008476734161377,0.7071067094802856,0.6622770428657532,0.1654719114303589,0.08838086575269699,0.5341139435768127,0.05277278274297714,0.03929058834910393,0.049625810235738754
ablation_meanrms_interdiv_divsel_actionaux.pth,1600,0.5094149708747864,0.5025656223297119,0.7071067094802856,0.6792201399803162,0.1654719114303589,0.11906491965055466,0.7195475697517395,0.05565178766846657,0.03929058834910393,0.04499392211437225
