checkpoint,samples,target_global_mean_abs,pred_global_mean_abs,target_sample_std_mean,pred_sample_std_mean,target_across_dataset_std_mean,pred_across_dataset_std_mean,variance_ratio_pred_over_target,mse_pred_to_target,mse_meanpose_to_target,pred_target_mean_pose_gap
resnet1d_env3val_env4test.pth,256,0.6035374402999878,0.4852488934993744,0.7811529636383057,0.64710932970047,0.14176394045352936,0.006016511004418135,0.04244034364819527,0.14082615077495575,0.03391234204173088,0.4389140009880066
resnet1d_batchdiv_env3val_env4test.pth,256,0.6035374402999878,0.5834380984306335,0.7811529636383057,0.7247315645217896,0.14176394045352936,0.022089874371886253,0.1558215171098709,0.049029041081666946,0.03391234204173088,0.12424720078706741
