checkpoint,action,samples,target_group_std_mean,pred_group_std_mean,mean_pose_gap,mean_pose_to_global_pred_gap
resnet1d_env3val_env4test.pth,A01,48,0.08485203236341476,0.005499631632119417,0.4390750825405121,0.0007293505477719009
resnet1d_env3val_env4test.pth,A02,48,0.08605370670557022,0.006151697598397732,0.47263941168785095,0.0001485753891756758
resnet1d_env3val_env4test.pth,A03,47,0.13672134280204773,0.0061266254633665085,0.47538667917251587,0.0005209437222220004
resnet1d_env3val_env4test.pth,A04,48,0.11086459457874298,0.0057939388789236546,0.44098684191703796,0.0010471243876963854
resnet1d_env3val_env4test.pth,A05,47,0.12161388248205185,0.0064146495424211025,0.43932750821113586,0.000350540125509724
resnet1d_env3val_env4test.pth,A06,18,0.07028178125619888,0.005848284345120192,0.3777592182159424,0.0007577794604003429
resnet1d_batchdiv_env3val_env4test.pth,A01,48,0.08485203236341476,0.021378617733716965,0.15279071033000946,0.001564892241731286
resnet1d_batchdiv_env3val_env4test.pth,A02,48,0.08605370670557022,0.022370927035808563,0.14291968941688538,0.0014064565766602755
resnet1d_batchdiv_env3val_env4test.pth,A03,47,0.13672134280204773,0.023611491546034813,0.1654719114303589,0.0027025958988815546
resnet1d_batchdiv_env3val_env4test.pth,A04,48,0.11086459457874298,0.01944958046078682,0.1583634912967682,0.004158805590122938
resnet1d_batchdiv_env3val_env4test.pth,A05,47,0.12161388248205185,0.022683773189783096,0.15532885491847992,0.0030826672445982695
resnet1d_batchdiv_env3val_env4test.pth,A06,18,0.07028178125619888,0.021913863718509674,0.13154274225234985,0.0030001674313098192
